ensemble,snr_db,information_gap,bound
Axes / tetrahedron (optimal),-35.0,2.221664624723853e-09,2.5000000000000002e-08
Axes / tetrahedron (optimal),-32.5,7.02414862808729e-09,7.905694150420949e-08
Axes / tetrahedron (optimal),-30.0,2.2204597874924796e-08,2.5e-07
Axes / tetrahedron (optimal),-27.5,7.017378183104477e-08,7.905694150420948e-07
Axes / tetrahedron (optimal),-25.0,2.2166573312402225e-07,2.5e-06
Axes / tetrahedron (optimal),-22.5,6.996043707399995e-07,7.905694150420949e-06
Axes / tetrahedron (optimal),-20.0,2.2047081330193657e-06,2.5e-05
Axes / tetrahedron (optimal),-17.5,6.929324655030929e-06,7.90569415042095e-05
Axes / tetrahedron (optimal),-15.0,2.1676578657185923e-05,0.00024999999999999995
Axes / tetrahedron (optimal),-12.5,6.7255308685589e-05,0.000790569415042095
Axes / tetrahedron (optimal),-10.0,0.0002057391689437559,0.0025000000000000005
Icosahedron (vertex),-35.0,1.6055254010554025e-13,5.270462766947299e-12
Icosahedron (vertex),-32.5,9.02542349838677e-13,2.9637990167315383e-11
Icosahedron (vertex),-30.0,5.072261563202273e-12,1.6666666666666669e-10
Icosahedron (vertex),-27.5,2.849239274355665e-11,9.37235541983915e-10
Icosahedron (vertex),-25.0,1.5991491270912517e-10,5.270462766947298e-09
Icosahedron (vertex),-22.5,8.961844387606451e-10,2.963799016731538e-08
Icosahedron (vertex),-20.0,5.0090067983697255e-09,1.666666666666667e-07
Icosahedron (vertex),-17.5,2.7865544337130157e-08,9.372355419839153e-07
Icosahedron (vertex),-15.0,1.5374566211387045e-07,5.270462766947298e-06
Icosahedron (vertex),-12.5,8.361925073687893e-07,2.9637990167315386e-05
Icosahedron (vertex),-10.0,4.437447883606033e-06,0.00016666666666666672
